Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
154.3425	-2.18125
154.345	3.21875
154.3475	4.725
154.35	10.71875
154.3525	24.45
154.355	39.39375
154.3575	50.325
154.36	55.7625
154.3625	54.49375
154.365	52.7
154.3675	59.53125
154.37	67.35
154.3725	60.9625
154.375	40.475
154.3775	16.7125
154.38	-3.7125
154.3825	-16.04375
154.385	-16.4375
154.3875	-4.25625
154.39	18.38125
154.3925	41.60625
154.395	51.68125
154.3975	45.96875
154.4	34.1125
154.4025	23.9375
154.405	19.775
154.4075	24.06875
154.41	32.0125
154.4125	37.08125
154.415	37.5125
154.4175	34.45625
154.42	28.45
154.4225	19.70625
154.425	11.7375
154.4275	9.3875
154.43	10.675
154.4325	9.9125
154.435	9.9125
154.4375	16.35
154.44	26.86875
154.4425	34.66875
154.445	37.51875
154.4475	36.05
154.45	27.89375
154.4525	12.45
154.455	-4.15625
154.4575	-10.875
154.46	-2.54375
154.4625	11.74375
154.465	17.43125
154.4675	9.70625
154.47	-2.725
154.4725	-8.86875
154.475	-7.625
154.4775	-5.96875
154.48	-6.7375
154.4825	-7.53125
154.485	-4.05625
154.4875	8.76875
154.49	29.025
154.4925	44.23125
154.495	41.425
154.4975	22.24375
154.5	2.19375
154.5025	-7.33125
154.505	-7.1875
154.5075	-1.31875
154.51	7.11875
154.5125	13.025
154.515	12.825
154.5175	8.7625
154.52	4.58125
154.5225	3.21875
154.525	8.8875
154.5275	21.925
154.53	33.31875
154.5325	33.2875
154.535	23.225
154.5375	12.53125
154.54	7.6
154.5425	6.3625
154.545	3.5875
154.5475	0.73125
154.55	0.98125
154.5525	1.95625
154.555	2.23125
154.5575	6.21875
154.56	19.8125
154.5625	39.5
154.565	47.675
154.5675	29.6
154.57	-3.86875
154.5725	-27.38125
154.575	-28.81875
154.5775	-16.325
154.58	-2.9625
154.5825	6.11875
154.585	10.61875
154.5875	11.16875
154.59	9.04375
154.5925	4.425
154.595	-2.08125
154.5975	-5.8875
154.6	-4.56875
154.6025	-0.9625
154.605	1.34375
154.6075	2.725
154.61	6.81875
154.6125	15.75625
154.615	27.91875
154.6175	37.45625
154.62	41.08125
154.6225	41.1375
154.625	37.5125
